"filename", "language", "C#", "Markdown", "XML", "JSON", "comment", "blank", "total"
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IComentarioRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IFechaRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\ILibroAutorRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\ILibroCategoriaRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\ILibroRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\INombreScoutRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\INoticiasRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IProgresionRepository.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IProgresionScoutRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IRamaRepository.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IRolesRepository.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IRolesUsuarioRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IScoutRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\ITipoAdjuntoRepository.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\ITipoNombreRepository.cs", "C#", 9, 0, 0, 0, 0, 2, 11
