Date : 2023-10-12 00:00:57
Directory : d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo
Total : 153 files,  3032 codes, 71 comments, 1025 blanks, all 4128 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\UnidadDto.cs                                     | C#       |          7 |          0 |          3 |         10 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\UsuarioDto.cs                                    | C#       |         10 |          0 |          7 |         17 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Adjuntos.cs                                  | C#       |          8 |          0 |          5 |         13 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\AsistenciaScout.cs                           | C#       |         12 |          0 |          9 |         21 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Autores.cs                                   | C#       |          7 |          0 |          4 |         11 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\AvisoPago.cs                                 | C#       |         11 |          0 |          8 |         19 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Categoria.cs                                 | C#       |          7 |          0 |          4 |         11 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Comentario.cs                                | C#       |         11 |          0 |          8 |         19 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Fecha.cs                                     | C#       |          8 |          0 |          5 |         13 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\HistoricoUsuario.cs                          | C#       |          9 |          0 |          6 |         15 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Libro.cs                                     | C#       |         14 |          0 |         11 |         25 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\LibroAutor.cs                                | C#       |          9 |          0 |          6 |         15 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\LibroCategoria.cs                            | C#       |          9 |          0 |          6 |         15 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\NombreScout.cs                               | C#       |         13 |          0 |         10 |         23 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Noticias.cs                                  | C#       |         18 |          0 |         15 |         33 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Progresion.cs                                | C#       |         12 |          0 |          9 |         21 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\ProgresionScout.cs                           | C#       |         10 |          0 |          7 |         17 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Rama.cs                                      | C#       |         10 |          0 |          7 |         17 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Roles.cs                                     | C#       |          8 |          0 |          5 |         13 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\RolesUsuario.cs                              | C#       |          9 |          0 |          6 |         15 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Scout.cs                                     | C#       |         19 |          0 |         16 |         35 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\TipoAdjunto.cs                               | C#       |          6 |          0 |          3 |          9 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\TipoNombre.cs                                | C#       |          7 |          0 |          4 |         11 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Unidad.cs                                    | C#       |         11 |          0 |          8 |         19 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Entities\Usuario.cs                                   | C#       |         15 |          0 |         12 |         27 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IAdjuntosRepository.cs                     | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IAsistenciaScoutRepository.cs              | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IAutoresRepository.cs                      | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IAvisoPagoRepository.cs                    | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\ICategoriaRepository.cs                    | C#       |          9 |          0 |          2 |         11 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IComentarioRepository.cs                   | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IFechaRepository.cs                        | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\ILibroAutorRepository.cs                   | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\ILibroCategoriaRepository.cs               | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\ILibroRepository.cs                        | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\INombreScoutRepository.cs                  | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\INoticiasRepository.cs                     | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IProgresionRepository.cs                   | C#       |          9 |          0 |          2 |         11 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IProgresionScoutRepository.cs              | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IRamaRepository.cs                         | C#       |          9 |          0 |          2 |         11 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IRolesRepository.cs                        | C#       |          9 |          0 |          2 |         11 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IRolesUsuarioRepository.cs                 | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IScoutRepository.cs                        | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\ITipoAdjuntoRepository.cs                  | C#       |          9 |          0 |          2 |         11 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\ITipoNombreRepository.cs                   | C#       |          9 |          0 |          2 |         11 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IUnidadRepository.cs                       | C#       |          9 |          0 |          2 |         11 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IUsuarioRepository.cs                      | C#       |         10 |          0 |          2 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\PaginaGrupo.Core.csproj                               | XML      |         11 |          0 |          4 |         15 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\AdjuntoConfiguration.cs          | C#       |         21 |          0 |          7 |         28 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\AsistenciaScoutConfiguration.cs  | C#       |         29 |          0 |          8 |         37 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\AutoresConfiguration.cs          | C#       |         16 |          0 |          5 |         21 |
